outfpr,outffl,outfnm,outfdo
"DEBGRZ_M  ","dM_F7     ",  76,"x"
"DEBGRZ_M  ","dM_F8     ",  77,"x"
"DEBGRZ_Z  ","dZ_MortS1 ",   1,"x"
"DEBGRZ_Z  ","dZ_NMrtS1 ",   2,"x"
"DEBGRZ_Z  ","dZ_PMrtS1 ",   3,"x"
"DEBGRZ_Z  ","dZ_Mor    ",   4,"x"
"DEBGRZ_Z  ","dZ_NMrt   ",   5,"x"
"DEBGRZ_Z  ","dZ_PMrt   ",   6,"x"
"DEBGRZ_Z  ","dZ_Resp   ",   7,"x"
"DEBGRZ_Z  ","dZ_NRes   ",   8,"x"
"DEBGRZ_Z  ","dZ_PRes   ",   9,"x"
"DEBGRZ_Z  ","dZ_Def    ",  10,"x"
"DEBGRZ_Z  ","dZ_NDef   ",  11,"x"
"DEBGRZ_Z  ","dZ_PDef   ",  12,"x"
"DEBGRZ_Z  ","dZ_SiDef  ",  13,"x"
"DEBGRZ_Z  ","dZ_SpwDet ",  14,"x"
"DEBGRZ_Z  ","dZ_NSpDet ",  15,"x"
"DEBGRZ_Z  ","dZ_PSpDet ",  16,"x"
"DEBGRZ_Z  ","dZ_Vgr    ",  17,"x"
"DEBGRZ_Z  ","dZ_Vmor   ",  18,"x"
"DEBGRZ_Z  ","dZ_Ea     ",  19,"x"
"DEBGRZ_Z  ","dZ_Ec     ",  20,"x"
"DEBGRZ_Z  ","dZ_Emor   ",  21,"x"
"DEBGRZ_Z  ","dZ_Rgr    ",  22,"x"
"DEBGRZ_Z  ","dZ_Rmor   ",  23,"x"
"DEBGRZ_Z  ","dZ_Nind   ",  24,"x"
"DEBGRZ_Z  ","dZ_Mort   ",  25,"x"
"DEBGRZ_Z  ","dZ_POC1   ",  26,"x"
"DEBGRZ_Z  ","dZ_DetC   ",  27,"x"
"DEBGRZ_Z  ","dZ_DCS1   ",  28,"x"
"DEBGRZ_Z  ","dZ_PON1   ",  29,"x"
"DEBGRZ_Z  ","dZ_DetN   ",  30,"x"
"DEBGRZ_Z  ","dZ_DNS1   ",  31,"x"
"DEBGRZ_Z  ","dZ_POP    ",  32,"x"
"DEBGRZ_Z  ","dZ_DetP   ",  33,"x"
"DEBGRZ_Z  ","dZ_DPS1   ",  34,"x"
"DEBGRZ_Z  ","dZ_POSi   ",  35,"x"
"DEBGRZ_Z  ","dZ_DSi    ",  36,"x"
"DEBGRZ_Z  ","dZ_DSiS   ",  37,"x"
"DEBGRZ_Z  ","dZ_Grn    ",  38,"x"
"DEBGRZ_Z  ","dZ_Diat   ",  39,"x"
"DEBGRZ_Z  ","dZ_ALG01  ",  40,"x"
"DEBGRZ_Z  ","dZ_ALG02  ",  41,"x"
"DEBGRZ_Z  ","dZ_ALG03  ",  42,"x"
"DEBGRZ_Z  ","dZ_ALG04  ",  43,"x"
"DEBGRZ_Z  ","dZ_ALG05  ",  44,"x"
"DEBGRZ_Z  ","dZ_ALG06  ",  45,"x"
"DEBGRZ_Z  ","dZ_ALG07  ",  46,"x"
"DEBGRZ_Z  ","dZ_ALG08  ",  47,"x"
"DEBGRZ_Z  ","dZ_ALG09  ",  48,"x"
"DEBGRZ_Z  ","dZ_ALG10  ",  49,"x"
"DEBGRZ_Z  ","dZ_ALG11  ",  50,"x"
"DEBGRZ_Z  ","dZ_ALG12  ",  51,"x"
"DEBGRZ_Z  ","dZ_ALG13  ",  52,"x"
"DEBGRZ_Z  ","dZ_ALG14  ",  53,"x"
"DEBGRZ_Z  ","dZ_ALG15  ",  54,"x"
"DEBGRZ_Z  ","dZ_ALG16  ",  55,"x"
"DEBGRZ_Z  ","dZ_ALG17  ",  56,"x"
"DEBGRZ_Z  ","dZ_ALG18  ",  57,"x"
"DEBGRZ_Z  ","dZ_ALG19  ",  58,"x"
"DEBGRZ_Z  ","dZ_ALG20  ",  59,"x"
"DEBGRZ_Z  ","dZ_ALG21  ",  60,"x"
"DEBGRZ_Z  ","dZ_ALG22  ",  61,"x"
"DEBGRZ_Z  ","dZ_ALG23  ",  62,"x"
"DEBGRZ_Z  ","dZ_ALG24  ",  63,"x"
"DEBGRZ_Z  ","dZ_ALG25  ",  64,"x"
"DEBGRZ_Z  ","dZ_ALG26  ",  65,"x"
"DEBGRZ_Z  ","dZ_ALG27  ",  66,"x"
"DEBGRZ_Z  ","dZ_ALG28  ",  67,"x"
"DEBGRZ_Z  ","dZ_ALG29  ",  68,"x"
"DEBGRZ_Z  ","dZ_ALG30  ",  69,"x"
"DEBGRZ_Z  ","dZ_F1     ",  70,"x"
"DEBGRZ_Z  ","dZ_F2     ",  71,"x"
"DEBGRZ_Z  ","dZ_F3     ",  72,"x"
"DEBGRZ_Z  ","dZ_F4     ",  73,"x"
"DEBGRZ_Z  ","dZ_F5     ",  74,"x"
"DEBGRZ_Z  ","dZ_F6     ",  75,"x"
"DEBGRZ_Z  ","dZ_F7     ",  76,"x"
"DEBGRZ_Z  ","dZ_F8     ",  77,"x"
"DEBGRZ_G3 ","dG3_MortS1",   1,"x"
"DEBGRZ_G3 ","dG3_NMrtS1",   2,"x"
"DEBGRZ_G3 ","dG3_PMrtS1",   3,"x"
"DEBGRZ_G3 ","dG3_Mor   ",   4,"x"
"DEBGRZ_G3 ","dG3_NMrt  ",   5,"x"
"DEBGRZ_G3 ","dG3_PMrt  ",   6,"x"
"DEBGRZ_G3 ","dG3_Resp  ",   7,"x"
"DEBGRZ_G3 ","dG3_NRes  ",   8,"x"
"DEBGRZ_G3 ","dG3_PRes  ",   9,"x"
"DEBGRZ_G3 ","dG3_Def   ",  10,"x"
"DEBGRZ_G3 ","dG3_NDef  ",  11,"x"
"DEBGRZ_G3 ","dG3_PDef  ",  12,"x"
"DEBGRZ_G3 ","dG3_SiDef ",  13,"x"
"DEBGRZ_G3 ","dG3_SpwDet",  14,"x"
"DEBGRZ_G3 ","dG3_NSpDet",  15,"x"
"DEBGRZ_G3 ","dG3_PSpDet",  16,"x"
"DEBGRZ_G3 ","dG3_Vgr   ",  17,"x"
"DEBGRZ_G3 ","dG3_Vmor  ",  18,"x"
"DEBGRZ_G3 ","dG3_Ea    ",  19,"x"
"DEBGRZ_G3 ","dG3_Ec    ",  20,"x"
"DEBGRZ_G3 ","dG3_Emor  ",  21,"x"
"DEBGRZ_G3 ","dG3_Rgr   ",  22,"x"
"DEBGRZ_G3 ","dG3_Rmor  ",  23,"x"
"DEBGRZ_G3 ","dG3_Nind  ",  24,"x"
"DEBGRZ_G3 ","dG3_Mort  ",  25,"x"
"DEBGRZ_G3 ","dG3_POC1  ",  26,"x"
"DEBGRZ_G3 ","dG3_DetC  ",  27,"x"
"DEBGRZ_G3 ","dG3_DCS1  ",  28,"x"
"DEBGRZ_G3 ","dG3_PON1  ",  29,"x"
"DEBGRZ_G3 ","dG3_DetN  ",  30,"x"
"DEBGRZ_G3 ","dG3_DNS1  ",  31,"x"
"DEBGRZ_G3 ","dG3_POP   ",  32,"x"
"DEBGRZ_G3 ","dG3_DetP  ",  33,"x"
"DEBGRZ_G3 ","dG3_DPS1  ",  34,"x"
"DEBGRZ_G3 ","dG3_POSi  ",  35,"x"
"DEBGRZ_G3 ","dG3_DSi   ",  36,"x"
"DEBGRZ_G3 ","dG3_DSiS  ",  37,"x"
"DEBGRZ_G3 ","dG3_Grn   ",  38,"x"
"DEBGRZ_G3 ","dG3_Diat  ",  39,"x"
"DEBGRZ_G3 ","dG3_ALG01 ",  40,"x"
"DEBGRZ_G3 ","dG3_ALG02 ",  41,"x"
"DEBGRZ_G3 ","dG3_ALG03 ",  42,"x"
"DEBGRZ_G3 ","dG3_ALG04 ",  43,"x"
"DEBGRZ_G3 ","dG3_ALG05 ",  44,"x"
"DEBGRZ_G3 ","dG3_ALG06 ",  45,"x"
"DEBGRZ_G3 ","dG3_ALG07 ",  46,"x"
"DEBGRZ_G3 ","dG3_ALG08 ",  47,"x"
"DEBGRZ_G3 ","dG3_ALG09 ",  48,"x"
"DEBGRZ_G3 ","dG3_ALG10 ",  49,"x"
"DEBGRZ_G3 ","dG3_ALG11 ",  50,"x"
"DEBGRZ_G3 ","dG3_ALG12 ",  51,"x"
"DEBGRZ_G3 ","dG3_ALG13 ",  52,"x"
"DEBGRZ_G3 ","dG3_ALG14 ",  53,"x"
"DEBGRZ_G3 ","dG3_ALG15 ",  54,"x"
"DEBGRZ_G3 ","dG3_ALG16 ",  55,"x"
"DEBGRZ_G3 ","dG3_ALG17 ",  56,"x"
"DEBGRZ_G3 ","dG3_ALG18 ",  57,"x"
"DEBGRZ_G3 ","dG3_ALG19 ",  58,"x"
"DEBGRZ_G3 ","dG3_ALG20 ",  59,"x"
"DEBGRZ_G3 ","dG3_ALG21 ",  60,"x"
"DEBGRZ_G3 ","dG3_ALG22 ",  61,"x"
"DEBGRZ_G3 ","dG3_ALG23 ",  62,"x"
"DEBGRZ_G3 ","dG3_ALG24 ",  63,"x"
"DEBGRZ_G3 ","dG3_ALG25 ",  64,"x"
"DEBGRZ_G3 ","dG3_ALG26 ",  65,"x"
"DEBGRZ_G3 ","dG3_ALG27 ",  66,"x"
"DEBGRZ_G3 ","dG3_ALG28 ",  67,"x"
"DEBGRZ_G3 ","dG3_ALG29 ",  68,"x"
"DEBGRZ_G3 ","dG3_ALG30 ",  69,"x"
"DEBGRZ_G3 ","dG3_F1    ",  70,"x"
"DEBGRZ_G3 ","dG3_F2    ",  71,"x"
"DEBGRZ_G3 ","dG3_F3    ",  72,"x"
"DEBGRZ_G3 ","dG3_F4    ",  73,"x"
"DEBGRZ_G3 ","dG3_F5    ",  74,"x"
"DEBGRZ_G3 ","dG3_F6    ",  75,"x"
"DEBGRZ_G3 ","dG3_F7    ",  76,"x"
"DEBGRZ_G3 ","dG3_F8    ",  77,"x"
"DEBGRZ_G4 ","dG4_MortS1",   1,"x"
"DEBGRZ_G4 ","dG4_NMrtS1",   2,"x"
"DEBGRZ_G4 ","dG4_PMrtS1",   3,"x"
"DEBGRZ_G4 ","dG4_Mor   ",   4,"x"
"DEBGRZ_G4 ","dG4_NMrt  ",   5,"x"
"DEBGRZ_G4 ","dG4_PMrt  ",   6,"x"
"DEBGRZ_G4 ","dG4_Resp  ",   7,"x"
"DEBGRZ_G4 ","dG4_NRes  ",   8,"x"
"DEBGRZ_G4 ","dG4_PRes  ",   9,"x"
"DEBGRZ_G4 ","dG4_Def   ",  10,"x"
"DEBGRZ_G4 ","dG4_NDef  ",  11,"x"
"DEBGRZ_G4 ","dG4_PDef  ",  12,"x"
"DEBGRZ_G4 ","dG4_SiDef ",  13,"x"
"DEBGRZ_G4 ","dG4_SpwDet",  14,"x"
"DEBGRZ_G4 ","dG4_NSpDet",  15,"x"
"DEBGRZ_G4 ","dG4_PSpDet",  16,"x"
"DEBGRZ_G4 ","dG4_Vgr   ",  17,"x"
"DEBGRZ_G4 ","dG4_Vmor  ",  18,"x"
"DEBGRZ_G4 ","dG4_Ea    ",  19,"x"
"DEBGRZ_G4 ","dG4_Ec    ",  20,"x"
"DEBGRZ_G4 ","dG4_Emor  ",  21,"x"
"DEBGRZ_G4 ","dG4_Rgr   ",  22,"x"
"DEBGRZ_G4 ","dG4_Rmor  ",  23,"x"
"DEBGRZ_G4 ","dG4_Nind  ",  24,"x"
"DEBGRZ_G4 ","dG4_Mort  ",  25,"x"
"DEBGRZ_G4 ","dG4_POC1  ",  26,"x"
"DEBGRZ_G4 ","dG4_DetC  ",  27,"x"
"DEBGRZ_G4 ","dG4_DCS1  ",  28,"x"
"DEBGRZ_G4 ","dG4_PON1  ",  29,"x"
"DEBGRZ_G4 ","dG4_DetN  ",  30,"x"
"DEBGRZ_G4 ","dG4_DNS1  ",  31,"x"
"DEBGRZ_G4 ","dG4_POP   ",  32,"x"
"DEBGRZ_G4 ","dG4_DetP  ",  33,"x"
"DEBGRZ_G4 ","dG4_DPS1  ",  34,"x"
"DEBGRZ_G4 ","dG4_POSi  ",  35,"x"
"DEBGRZ_G4 ","dG4_DSi   ",  36,"x"
"DEBGRZ_G4 ","dG4_DSiS  ",  37,"x"
"DEBGRZ_G4 ","dG4_Grn   ",  38,"x"
"DEBGRZ_G4 ","dG4_Diat  ",  39,"x"
"DEBGRZ_G4 ","dG4_ALG01 ",  40,"x"
"DEBGRZ_G4 ","dG4_ALG02 ",  41,"x"
"DEBGRZ_G4 ","dG4_ALG03 ",  42,"x"
"DEBGRZ_G4 ","dG4_ALG04 ",  43,"x"
"DEBGRZ_G4 ","dG4_ALG05 ",  44,"x"
"DEBGRZ_G4 ","dG4_ALG06 ",  45,"x"
"DEBGRZ_G4 ","dG4_ALG07 ",  46,"x"
"DEBGRZ_G4 ","dG4_ALG08 ",  47,"x"
"DEBGRZ_G4 ","dG4_ALG09 ",  48,"x"
"DEBGRZ_G4 ","dG4_ALG10 ",  49,"x"
"DEBGRZ_G4 ","dG4_ALG11 ",  50,"x"
"DEBGRZ_G4 ","dG4_ALG12 ",  51,"x"
"DEBGRZ_G4 ","dG4_ALG13 ",  52,"x"
"DEBGRZ_G4 ","dG4_ALG14 ",  53,"x"
"DEBGRZ_G4 ","dG4_ALG15 ",  54,"x"
"DEBGRZ_G4 ","dG4_ALG16 ",  55,"x"
"DEBGRZ_G4 ","dG4_ALG17 ",  56,"x"
"DEBGRZ_G4 ","dG4_ALG18 ",  57,"x"
"DEBGRZ_G4 ","dG4_ALG19 ",  58,"x"
"DEBGRZ_G4 ","dG4_ALG20 ",  59,"x"
"DEBGRZ_G4 ","dG4_ALG21 ",  60,"x"
"DEBGRZ_G4 ","dG4_ALG22 ",  61,"x"
"DEBGRZ_G4 ","dG4_ALG23 ",  62,"x"
"DEBGRZ_G4 ","dG4_ALG24 ",  63,"x"
"DEBGRZ_G4 ","dG4_ALG25 ",  64,"x"
"DEBGRZ_G4 ","dG4_ALG26 ",  65,"x"
"DEBGRZ_G4 ","dG4_ALG27 ",  66,"x"
"DEBGRZ_G4 ","dG4_ALG28 ",  67,"x"
"DEBGRZ_G4 ","dG4_ALG29 ",  68,"x"
"DEBGRZ_G4 ","dG4_ALG30 ",  69,"x"
"DEBGRZ_G4 ","dG4_F1    ",  70,"x"
"DEBGRZ_G4 ","dG4_F2    ",  71,"x"
"DEBGRZ_G4 ","dG4_F3    ",  72,"x"
"DEBGRZ_G4 ","dG4_F4    ",  73,"x"
"DEBGRZ_G4 ","dG4_F5    ",  74,"x"
"DEBGRZ_G4 ","dG4_F6    ",  75,"x"
"DEBGRZ_G4 ","dG4_F7    ",  76,"x"
"DEBGRZ_G4 ","dG4_F8    ",  77,"x"
"DEBGRZ_G5 ","dG5_MortS1",   1,"x"
"DEBGRZ_G5 ","dG5_NMrtS1",   2,"x"
"DEBGRZ_G5 ","dG5_PMrtS1",   3,"x"
"DEBGRZ_G5 ","dG5_Mor   ",   4,"x"
"DEBGRZ_G5 ","dG5_NMrt  ",   5,"x"
"DEBGRZ_G5 ","dG5_PMrt  ",   6,"x"
"DEBGRZ_G5 ","dG5_Resp  ",   7,"x"
"DEBGRZ_G5 ","dG5_NRes  ",   8,"x"
"DEBGRZ_G5 ","dG5_PRes  ",   9,"x"
"DEBGRZ_G5 ","dG5_Def   ",  10,"x"
"DEBGRZ_G5 ","dG5_NDef  ",  11,"x"
"DEBGRZ_G5 ","dG5_PDef  ",  12,"x"
"DEBGRZ_G5 ","dG5_SiDef ",  13,"x"
"DEBGRZ_G5 ","dG5_SpwDet",  14,"x"
"DEBGRZ_G5 ","dG5_NSpDet",  15,"x"
"DEBGRZ_G5 ","dG5_PSpDet",  16,"x"
"DEBGRZ_G5 ","dG5_Vgr   ",  17,"x"
"DEBGRZ_G5 ","dG5_Vmor  ",  18,"x"
"DEBGRZ_G5 ","dG5_Ea    ",  19,"x"
"DEBGRZ_G5 ","dG5_Ec    ",  20,"x"
"DEBGRZ_G5 ","dG5_Emor  ",  21,"x"
"DEBGRZ_G5 ","dG5_Rgr   ",  22,"x"
"DEBGRZ_G5 ","dG5_Rmor  ",  23,"x"
"DEBGRZ_G5 ","dG5_Nind  ",  24,"x"
"DEBGRZ_G5 ","dG5_Mort  ",  25,"x"
"DEBGRZ_G5 ","dG5_POC1  ",  26,"x"
"DEBGRZ_G5 ","dG5_DetC  ",  27,"x"
"DEBGRZ_G5 ","dG5_DCS1  ",  28,"x"
"DEBGRZ_G5 ","dG5_PON1  ",  29,"x"
"DEBGRZ_G5 ","dG5_DetN  ",  30,"x"
"DEBGRZ_G5 ","dG5_DNS1  ",  31,"x"
"DEBGRZ_G5 ","dG5_POP   ",  32,"x"
"DEBGRZ_G5 ","dG5_DetP  ",  33,"x"
"DEBGRZ_G5 ","dG5_DPS1  ",  34,"x"
"DEBGRZ_G5 ","dG5_POSi  ",  35,"x"
"DEBGRZ_G5 ","dG5_DSi   ",  36,"x"
"DEBGRZ_G5 ","dG5_DSiS  ",  37,"x"
"DEBGRZ_G5 ","dG5_Grn   ",  38,"x"
"DEBGRZ_G5 ","dG5_Diat  ",  39,"x"
"DEBGRZ_G5 ","dG5_ALG01 ",  40,"x"
"DEBGRZ_G5 ","dG5_ALG02 ",  41,"x"
"DEBGRZ_G5 ","dG5_ALG03 ",  42,"x"
"DEBGRZ_G5 ","dG5_ALG04 ",  43,"x"
"DEBGRZ_G5 ","dG5_ALG05 ",  44,"x"
"DEBGRZ_G5 ","dG5_ALG06 ",  45,"x"
"DEBGRZ_G5 ","dG5_ALG07 ",  46,"x"
"DEBGRZ_G5 ","dG5_ALG08 ",  47,"x"
"DEBGRZ_G5 ","dG5_ALG09 ",  48,"x"
"DEBGRZ_G5 ","dG5_ALG10 ",  49,"x"
"DEBGRZ_G5 ","dG5_ALG11 ",  50,"x"
"DEBGRZ_G5 ","dG5_ALG12 ",  51,"x"
"DEBGRZ_G5 ","dG5_ALG13 ",  52,"x"
"DEBGRZ_G5 ","dG5_ALG14 ",  53,"x"
"DEBGRZ_G5 ","dG5_ALG15 ",  54,"x"
"DEBGRZ_G5 ","dG5_ALG16 ",  55,"x"
"DEBGRZ_G5 ","dG5_ALG17 ",  56,"x"
"DEBGRZ_G5 ","dG5_ALG18 ",  57,"x"
"DEBGRZ_G5 ","dG5_ALG19 ",  58,"x"
"DEBGRZ_G5 ","dG5_ALG20 ",  59,"x"
"DEBGRZ_G5 ","dG5_ALG21 ",  60,"x"
"DEBGRZ_G5 ","dG5_ALG22 ",  61,"x"
"DEBGRZ_G5 ","dG5_ALG23 ",  62,"x"
"DEBGRZ_G5 ","dG5_ALG24 ",  63,"x"
"DEBGRZ_G5 ","dG5_ALG25 ",  64,"x"
"DEBGRZ_G5 ","dG5_ALG26 ",  65,"x"
"DEBGRZ_G5 ","dG5_ALG27 ",  66,"x"
"DEBGRZ_G5 ","dG5_ALG28 ",  67,"x"
"DEBGRZ_G5 ","dG5_ALG29 ",  68,"x"
"DEBGRZ_G5 ","dG5_ALG30 ",  69,"x"
"DEBGRZ_G5 ","dG5_F1    ",  70,"x"
"DEBGRZ_G5 ","dG5_F2    ",  71,"x"
"DEBGRZ_G5 ","dG5_F3    ",  72,"x"
"DEBGRZ_G5 ","dG5_F4    ",  73,"x"
"DEBGRZ_G5 ","dG5_F5    ",  74,"x"
"DEBGRZ_G5 ","dG5_F6    ",  75,"x"
"DEBGRZ_G5 ","dG5_F7    ",  76,"x"
"DEBGRZ_G5 ","dG5_F8    ",  77,"x"
"Dredge    ","drdg*IM1S1",   1,"x"
"Dredge    ","drdg*IM2S1",   2,"x"
"Dredge    ","drdg*IM3S1",   3,"x"
"Dredge    ","drdg*IM1S2",   4,"x"
"Dredge    ","drdg*IM2S2",   5,"x"
"Dredge    ","drdg*IM3S2",   6,"x"
"Dredge    ","dump*IM1  ",   7,"x"
"Dredge    ","dump*IM2  ",   8,"x"
"Dredge    ","dump*IM3  ",   9,"x"
"IM_Floceq ","dFlocIM1  ",   1,"x"
"IM_Floceq ","dFlocIM2  ",   2,"x"
"IM_Floceq ","dFlocIM3  ",   3,"x"
"AtmDep_Sal","dAtmDepSal",   1,"x"
"AtmDep_Ecl","dAtmDepEcl",   1,"x"
"Cascade   ","dDecayC1  ",   1,"x"
"Cascade   ","dDecayC2  ",   2,"x"
"Cascade   ","dDecayC3  ",   3,"x"
"Cascade   ","dDecayC4  ",   4,"x"
"Cascade   ","dDecayC5  ",   5,"x"
"Cascade   ","dTransC1C2",   6,"x"
"Cascade   ","dTransC1C3",   7,"x"
"Cascade   ","dTransC1C4",   8,"x"
"Cascade   ","dTransC1C5",   9,"x"
"Cascade   ","dTransC2C3",  10,"x"
"Cascade   ","dTransC2C4",  11,"x"
"Cascade   ","dTransC2C5",  12,"x"
"Cascade   ","dTransC3C4",  13,"x"
"Cascade   ","dTransC3C5",  14,"x"
"Cascade   ","dTransC4C5",  15,"x"
"Decay1    ","dDecaydTR1",   1,"x"
"Decay2    ","dDecaydTR2",   1,"x"
"Decay3    ","dDecaydTR3",   1,"x"
"Decay4    ","dDecaydTR4",   1,"x"
"Decay5    ","dDecaydTR5",   1,"x"
